"x2","n","welfare","sPr","P","dChisq","dDev","dBhat"
278,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
279,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
280,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
281,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
282,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
283,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
284,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
285,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
286,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
287,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
288,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
289,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
290,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
291,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
292,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
293,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
294,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
295,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
296,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
297,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
298,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
299,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
300,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
301,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
302,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
303,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
304,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
305,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
306,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
307,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
308,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
309,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
310,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
311,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
312,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
313,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
314,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
315,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
316,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
317,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
318,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
319,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
320,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
321,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
